lga_name,state,zone
Ungogo,Kano,North West
Warawa,Kano,North West
Wudil,Kano,North West
Bakori,Katsina,North West
Batagarawa,Katsina,North West
Batsari,Katsina,North West
Baure,Katsina,North West
Bindawa,Katsina,North West
Charanchi,Katsina,North West
Dan Musa,Katsina,North West
Dandume,Katsina,North West
Danja,Katsina,North West
Daura,Katsina,North West
Dutsi,Katsina,North West
Dutsin Ma,Katsina,North West
Faskari,Katsina,North West
Funtua,Katsina,North West
Ingawa,Katsina,North West
Jibia,Katsina,North West
Kafur,Katsina,North West
Kaita,Katsina,North West
Kankara,Katsina,North West
Kankia,Katsina,North West
Katsina,Katsina,North West
Kurfi,Katsina,North West
Kusada,Katsina,North West
Mai'Adua,Katsina,North West
Malumfashi,Katsina,North West
Mani,Katsina,North West
Mashi,Katsina,North West
Matazu,Katsina,North West
Musawa,Katsina,North West
Rimi,Katsina,North West
Sabuwa,Katsina,North West
Safana,Katsina,North West
Sandamu,Katsina,North West
Zango,Katsina,North West
Aleiro,Kebbi,North West
Arewa Dandi,Kebbi,North West
Argungu,Kebbi,North West
Augie,Kebbi,North West
Bagudo,Kebbi,North West
Birnin Kebbi,Kebbi,North West
Bunza,Kebbi,North West
Dandi,Kebbi,North West
Fakai,Kebbi,North West
Gwandu,Kebbi,North West
Jega,Kebbi,North West
Kalgo,Kebbi,North West
Koko/Besse,Kebbi,North West
Maiyama,Kebbi,North West
Ngaski,Kebbi,North West
Sakaba,Kebbi,North West
Shanga,Kebbi,North West
Suru,Kebbi,North West
Wasagu/Danko,Kebbi,North West
Yauri,Kebbi,North West
Zuru,Kebbi,North West
Adavi,Kogi,North Central
Ajaokuta,Kogi,North Central
Ankpa,Kogi,North Central
Bassa,Kogi,North Central
Dekina,Kogi,North Central
Ibaji,Kogi,North Central
Idah,Kogi,North Central
Igalamela Odolu,Kogi,North Central
Ijumu,Kogi,North Central
Kabba/Bunu,Kogi,North Central
Kogi,Kogi,North Central
Lokoja,Kogi,North Central
Mopa Muro,Kogi,North Central
Ofu,Kogi,North Central
Ogori/Magongo,Kogi,North Central
Okehi,Kogi,North Central
Okene,Kogi,North Central
Olamaboro,Kogi,North Central
Omala,Kogi,North Central
Yagba East,Kogi,North Central
Yagba West,Kogi,North Central
Asa,Kwara,North Central
Baruten,Kwara,North Central
Edu,Kwara,North Central
Ekiti,Kwara,North Central
Ifelodun,Kwara,North Central
Ilorin East,Kwara,North Central
Ilorin South,Kwara,North Central
Ilorin West,Kwara,North Central
Irepodun,Kwara,North Central
Isin,Kwara,North Central
Kaiama,Kwara,North Central
Moro,Kwara,North Central
Offa,Kwara,North Central
Oke Ero,Kwara,North Central
Oyun,Kwara,North Central
Pategi,Kwara,North Central
Agege,Lagos,South West
Ajeromi-Ifelodun,Lagos,South West
Alimosho,Lagos,South West
Amuwo-Odofin,Lagos,South West
Apapa,Lagos,South West
Badagry,Lagos,South West
Epe,Lagos,South West
Eti Osa,Lagos,South West
Ibeju-Lekki,Lagos,South West
Ifako-Ijaiye,Lagos,South West
Ikeja,Lagos,South West
Ikorodu,Lagos,South West
Kosofe,Lagos,South West
Lagos Island,Lagos,South West
Lagos Mainland,Lagos,South West
Mushin,Lagos,South West
Ojo,Lagos,South West
Oshodi-Isolo,Lagos,South West
Shomolu,Lagos,South West
Surulere,Lagos,South West
Akwanga,Nasarawa,North Central
Awe,Nasarawa,North Central
Doma,Nasarawa,North Central
Karu,Nasarawa,North Central
Keana,Nasarawa,North Central
Keffi,Nasarawa,North Central
Kokona,Nasarawa,North Central
Lafia,Nasarawa,North Central
Nasarawa,Nasarawa,North Central
Nasarawa Egon,Nasarawa,North Central
Obi,Nasarawa,North Central
Toto,Nasarawa,North Central
Wamba,Nasarawa,North Central
Agaie,Niger,North Central
Agwara,Niger,North Central
Bida,Niger,North Central
Borgu,Niger,North Central
Bosso,Niger,North Central
Chanchaga,Niger,North Central
Edati,Niger,North Central
Gbako,Niger,North Central
Gurara,Niger,North Central
Katcha,Niger,North Central
Kontagora,Niger,North Central
Lapai,Niger,North Central
Lavun,Niger,North Central
Magama,Niger,North Central
Mariga,Niger,North Central
Mashegu,Niger,North Central
Mokwa,Niger,North Central
Moya,Niger,North Central
Paikoro,Niger,North Central
Rafi,Niger,North Central
Rijau,Niger,North Central
Shiroro,Niger,North Central
Suleja,Niger,North Central
Tafa,Niger,North Central
Wushishi,Niger,North Central
Abeokuta North,Ogun,South West
Abeokuta South,Ogun,South West
Ado-Odo/Ota,Ogun,South West
Egbado North,Ogun,South West
Egbado South,Ogun,South West
Ewekoro,Ogun,South West
Ifo,Ogun,South West
Ijebu East,Ogun,South West
Ijebu North,Ogun,South West
Ijebu North East,Ogun,South West
Ijebu Ode,Ogun,South West
Ikenne,Ogun,South West
Imeko Afon,Ogun,South West
Ipokia,Ogun,South West
Obafemi Owode,Ogun,South West
Odeda,Ogun,South West
Odogbolu,Ogun,South West
Ogun Waterside,Ogun,South West
Remo North,Ogun,South West
Sagamu,Ogun,South West
Akoko North-East,Ondo,South West
Akoko North-West,Ondo,South West
Akoko South-East,Ondo,South West
Akoko South-West,Ondo,South West
Akure North,Ondo,South West
Akure South,Ondo,South West
Ese Odo,Ondo,South West
Idanre,Ondo,South West
Ifedore,Ondo,South West
Ilaje,Ondo,South West
Ile Oluji/Okeigbo,Ondo,South West
Irele,Ondo,South West
Odigbo,Ondo,South West
Okitipupa,Ondo,South West
Ondo East,Ondo,South West
Ondo West,Ondo,South West
Ose,Ondo,South West
Owo,Ondo,South West
Aiyedaade,Osun,South West
Aiyedire,Osun,South West
Atakumosa East,Osun,South West
Atakumosa West,Osun,South West
Boluwaduro,Osun,South West
Boripe,Osun,South West
Ede North,Osun,South West
Ede South,Osun,South West
Egbedore,Osun,South West
Ejigbo,Osun,South West
Ife Central,Osun,South West
Ife East,Osun,South West
Ife North,Osun,South West
Ife South,Osun,South West
Ifedayo,Osun,South West
Ifelodun,Osun,South West
Ila,Osun,South West
Ilesa East,Osun,South West
Ilesa West,Osun,South West
Irepodun,Osun,South West
Irewole,Osun,South West
Isokan,Osun,South West
Iwo,Osun,South West
Obokun,Osun,South West
Odo Otin,Osun,South West
Ola Oluwa,Osun,South West
Olorunda,Osun,South West
Oriade,Osun,South West
Orolu,Osun,South West
Osogbo,Osun,South West
Afijio,Oyo,South West
Akinyele,Oyo,South West
Atiba,Oyo,South West
Atisbo,Oyo,South West
Egbeda,Oyo,South West
Ibadan North,Oyo,South West
Ibadan North-East,Oyo,South West
Ibadan North-West,Oyo,South West
Ibadan South-East,Oyo,South West
Ibadan South-West,Oyo,South West
Ibarapa Central,Oyo,South West
Ibarapa East,Oyo,South West
Ibarapa North,Oyo,South West
Ido,Oyo,South West
Irepo,Oyo,South West
Iseyin,Oyo,South West
Itesiwaju,Oyo,South West
Iwajowa,Oyo,South West
Kajola,Oyo,South West
Lagelu,Oyo,South West
Ogbomosho North,Oyo,South West
Ogbomosho South,Oyo,South West
Ogo Oluwa,Oyo,South West
Olorunsogo,Oyo,South West
Oluyole,Oyo,South West
Ona Ara,Oyo,South West
Orelope,Oyo,South West
Ori Ire,Oyo,South West
Oyo East,Oyo,South West
Oyo West,Oyo,South West
Saki East,Oyo,South West
Saki West,Oyo,South West
Surulere,Oyo,South West
Barkin Ladi,Plateau,North Central
Bassa,Plateau,North Central
Bokkos,Plateau,North Central
Jos East,Plateau,North Central
Jos North,Plateau,North Central
Jos South,Plateau,North Central
Kanam,Plateau,North Central
Kanke,Plateau,North Central
Langtang North,Plateau,North Central
Langtang South,Plateau,North Central
Mangu,Plateau,North Central
Mikang,Plateau,North Central
Pankshin,Plateau,North Central
Qua'an Pan,Plateau,North Central
Riyom,Plateau,North Central
Shendam,Plateau,North Central
Wase,Plateau,North Central
Abua/Odual,Rivers,South South
Ahoada East,Rivers,South South
Ahoada West,Rivers,South South
Akuku-Toru,Rivers,South South
Andoni,Rivers,South South
Asari-Toru,Rivers,South South
Bonny,Rivers,South South
Degema,Rivers,South South
Eleme,Rivers,South South
Emohua,Rivers,South South
Etche,Rivers,South South
Gokana,Rivers,South South
Ikwerre,Rivers,South South
Khana,Rivers,South South
Obio/Akpor,Rivers,South South
Ogba/Egbema/Ndoni,Rivers,South South
Ogu/Bolo,Rivers,South South
Okrika,Rivers,South South
Omuma,Rivers,South South
Opobo/Nkoro,Rivers,South South
Oyigbo,Rivers,South South
Port Harcourt,Rivers,South South
Tai,Rivers,South South
Binji,Sokoto,North West
Bodinga,Sokoto,North West
Dange Shuni,Sokoto,North West
Gada,Sokoto,North West
Goronyo,Sokoto,North West
Gudu,Sokoto,North West
Gwadabawa,Sokoto,North West
Illela,Sokoto,North West
Isa,Sokoto,North West
Kebbe,Sokoto,North West
Kware,Sokoto,North West
Rabah,Sokoto,North West
Sabon Birni,Sokoto,North West
Shagari,Sokoto,North West
Silame,Sokoto,North West
Sokoto North,Sokoto,North West
Sokoto South,Sokoto,North West
Tambuwal,Sokoto,North West
Tangaza,Sokoto,North West
Tureta,Sokoto,North West
Wamako,Sokoto,North West
Wurno,Sokoto,North West
Yabo,Sokoto,North West
Ardo Kola,Taraba,North East
Bali,Taraba,North East
Donga,Taraba,North East
Gashaka,Taraba,North East
Gassol,Taraba,North East
Ibi,Taraba,North East
Jalingo,Taraba,North East
Karim Lamido,Taraba,North East
Kurmi,Taraba,North East
Lau,Taraba,North East
Sardauna,Taraba,North East
Takum,Taraba,North East
Ussa,Taraba,North East
Wukari,Taraba,North East
Yorro,Taraba,North East
Zing,Taraba,North East
Bade,Yobe,North East
Bursari,Yobe,North East
Damaturu,Yobe,North East
Fika,Yobe,North East
Fune,Yobe,North East
Geidam,Yobe,North East
Gujba,Yobe,North East
Gulani,Yobe,North East
Jakusko,Yobe,North East
Karasuwa,Yobe,North East
Machina,Yobe,North East
Nangere,Yobe,North East
Nguru,Yobe,North East
Potiskum,Yobe,North East
Tarmuwa,Yobe,North East
Yunusari,Yobe,North East
Yusufari,Yobe,North East
Anka,Zamfara,North West
Bakura,Zamfara,North West
Birnin Magaji/Kiyaw,Zamfara,North West
Bukkuyum,Zamfara,North West
Bungudu,Zamfara,North West
Gummi,Zamfara,North West
Gusau,Zamfara,North West
Kaura Namoda,Zamfara,North West
Maradun,Zamfara,North West
Maru,Zamfara,North West
Shinkafi,Zamfara,North West
Talata Mafara,Zamfara,North West
Tsafe,Zamfara,North West
Zurmi,Zamfara,North West
